code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
16,0.65,1,4,2,0.602419412000017,2,16,7,4,1.19685086800018,1,1,0.602419412000017,4,0,1,0,0,NaN,NaN,2
372,1.4,3,8,2,1.00690519100044,1,372,8,3,0.470226622999689,4,0,NaN,NaN,0,0,0,1,0.923879532511287,-0.38268343236509,2
324,1.4,3,8,2,1.60433512800046,1,324,6,3,0.300566044999869,3,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,2
89,0.65,3,4,2,0.504623142000128,2,89,6,4,2.52097232699998,2,1,0.504623142000128,4,0,1,0,0,NaN,NaN,2
384,1.4,3,8,2,1.00022799599992,2,384,11,2,0.27007815900015,4,1,1.00022799599992,2,0,1,0,0,NaN,NaN,2
321,0.65,3,8,2,1.00631160800003,1,321,6,2,0.268900945000496,3,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,2
29,0.65,3,4,1,0.46869122499993,1,29,1,4,0.172717299999931,1,1,0.46869122499993,4,1,0,0,0,0.707106781186548,0.707106781186547,2
49,0.65,1,4,1,0.371380972000225,1,49,2,4,0.673547477999819,2,1,0.371380972000225,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
125,0.65,3,4,1,0.368756543999552,1,125,3,4,0.338836283999626,3,1,0.368756543999552,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
195,0.65,1,8,1,0.766587942000115,1,195,1,4,0.170948562999911,1,1,0.766587942000115,4,1,0,0,0,0.923879532511287,0.38268343236509,2
57,0.65,1,4,1,0.267205125000146,1,57,2,4,0.16897953500029,2,1,0.267205125000146,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
284,1.4,3,8,1,0.466614273999767,2,284,10,4,0.6721629700005,2,0,NaN,NaN,0,0,1,0,NaN,NaN,2
290,0.65,1,8,2,1.70522289099972,1,290,5,3,0.305564749000041,3,0,NaN,NaN,0,0,0,1,-0.923879532511287,-0.38268343236509,2
169,0.65,3,4,1,0.567878847999964,1,169,4,4,0.171889076999832,4,1,0.567878847999964,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
201,0.65,1,8,1,0.56368404099976,1,201,2,4,0.674506520999785,1,1,0.56368404099976,4,1,0,0,0,0.38268343236509,0.923879532511287,2
104,0.65,1,4,1,0.366339383000195,1,104,3,4,0.170256465000421,3,1,0.366339383000195,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
265,0.65,3,8,1,0.466944572000102,1,265,3,4,0.170268969999597,2,1,0.466944572000102,4,1,0,0,0,-0.38268343236509,0.923879532511287,2
237,0.65,3,8,2,0.801283871999658,2,237,13,3,0.13825314100086,1,1,0.801283871999658,3,0,1,0,0,NaN,NaN,2
146,0.65,1,4,1,1.17354125800011,1,146,4,4,0.681181891999586,4,1,1.17354125800011,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
