Subject_code,code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,RT_TP,xpos,ypos,perfGrp
10,695,1.4,1,8,2,0.99218657000165,2,311,14,1,0.0697161340012826,3,1,0.99218657000165,1,0,1,0,0,NaN,NaN,NaN,2
10,499,1.4,1,4,2,0.578386908000539,2,115,6,4,0.178390888000649,3,1,0.578386908000539,4,0,1,0,0,NaN,NaN,NaN,2
10,449,1.4,1,4,2,0.476915778999683,2,65,6,4,0.342739952999182,2,1,0.476915778999683,4,0,1,0,0,NaN,NaN,NaN,2
10,539,1.4,1,4,1,0.51153005499873,1,155,4,4,0.693742702000236,4,1,0.51153005499873,4,1,0,0,0,0.51153005499873,0.707106781186547,-0.707106781186548,2
10,550,1.4,1,4,2,0.986905043999286,2,166,8,4,0.172725634000017,4,1,0.986905043999286,4,0,1,0,0,NaN,NaN,NaN,2
10,485,1.4,1,4,1,0.512708194999504,1,101,3,4,0.17571535100069,3,1,0.512708194999504,4,1,0,0,0,0.512708194999504,-0.707106781186548,-0.707106781186547,2
10,709,0.65,3,8,1,0.717185564999454,2,325,11,2,1.63782378799988,3,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,483,1.4,1,4,1,0.514054579998628,1,99,3,4,0.174854827999297,3,1,0.514054579998628,4,1,0,0,0,0.514054579998628,-0.707106781186548,-0.707106781186547,2
10,733,1.4,1,8,2,0.787048021998999,2,349,14,1,0.584290544000396,4,1,0.787048021998999,1,0,1,0,0,NaN,NaN,NaN,2
10,531,1.4,1,4,1,0.625562432000152,1,147,4,4,0.16826805600067,4,1,0.625562432000152,4,1,0,0,0,0.625562432000152,0.707106781186547,-0.707106781186548,2
